name,_id,run_start_time,run_end_time,status,status_message,adjust_thermostat_setpoints_by_degrees.cooling_adjustment,adjust_thermostat_setpoints_by_degrees.heating_adjustment,change_electric_baseboard.nom_cap,change_exterior_wall_thermal_properties.r_value_mult,change_exterior_wall_thermal_properties.solar_abs_mult,change_exterior_wall_thermal_properties.thermal_mass_mult,change_roof_thermal_properties.r_value_mult,change_roof_thermal_properties.solar_abs_mult,change_roof_thermal_properties.thermal_mass_mult,improve_fan_belt_efficiency.fan_eff,improve_fan_belt_efficiency.motor_eff,reduce_electric_equipment_loads_by_percentage.elecequip_power_reduction_percent,reduce_space_infiltration_by_percentage.space_infiltration_reduction_percent,set_co_pfor_single_speed_dx_cooling_units.cop,set_gas_burner_efficiency_diag.eff,CalibrationReportsEnhanced20.electricity_consumption_actual,CalibrationReportsEnhanced20.electricity_consumption_cvrmse,CalibrationReportsEnhanced20.electricity_consumption_modeled,CalibrationReportsEnhanced20.electricity_consumption_nmbe,CalibrationReportsEnhanced20.electricity_cvrmse_within_limit,CalibrationReportsEnhanced20.electricity_nmbe_within_limit,CalibrationReportsEnhanced20.electricity_rmse,CalibrationReportsEnhanced20.natural_gas_consumption_actual,CalibrationReportsEnhanced20.natural_gas_consumption_cvrmse,CalibrationReportsEnhanced20.natural_gas_consumption_modeled,CalibrationReportsEnhanced20.natural_gas_consumption_nmbe,CalibrationReportsEnhanced20.natural_gas_cvrmse_within_limit,CalibrationReportsEnhanced20.natural_gas_nmbe_within_limit,CalibrationReportsEnhanced20.natural_gas_rmse,OpenStudioResults.electricity_ip,OpenStudioResults.eui,OpenStudioResults.natural_gas_ip
API Generated 2017-03-31 14:51:07 +0000,028eb865-0793-4864-8538-440763f2ee1b,2017-03-31T14:51:09.992Z,2017-03-31T14:51:43.561Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-3.0,-29.1060949268334,49.7436778170291,5.0,0.78,18378.0,44.92342764020672,26142.80731200255,-46.09151640995196,0.0,0.0,658.7120467707242,233.0,57.50024714281305,321.3390584051288,-41.70513486937412,0.0,0.0,11.612790858063802,26217.21395318889,146.29077294325103,39.99748863922851
API Generated 2017-03-31 14:51:08 +0000,0805ed27-da62-4bc5-9e73-6002e7ba2a9a,2017-03-31T14:51:12.806Z,2017-03-31T14:51:45.910Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-3.0,0.89390507316657,49.7436778170291,5.0,0.78,18378.0,23.902601601720708,22293.852000741525,-23.244305943320732,0.0,0.0,350.48375538741914,233.0,80.08035729809745,367.4125215050886,-63.4565552169946,0.0,0.0,16.173085983997623,22356.873193647225,137.4756238634227,45.36467177969257
API Generated 2017-03-31 14:51:07 +0000,09e50838-437c-4a8c-8cdd-fa5c94481172,2017-03-31T14:51:09.527Z,2017-03-31T14:51:42.229Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-2.9966,0.89390507316657,49.7436778170291,5.0,0.78,18378.0,23.902601601720708,22293.852000741525,-23.244305943320732,0.0,0.0,350.48375538741914,233.0,80.08035729809745,367.4125215050886,-63.4565552169946,0.0,0.0,16.173085983997623,22356.873193647225,137.4756238634227,45.36467177969257
API Generated 2017-03-31 14:51:07 +0000,0c5ce7b1-f3e7-4b93-8f94-7b5b4ad9f319,2017-03-31T14:51:10.299Z,2017-03-31T14:51:44.618Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-3.0,0.89390507316657,49.7436778170291,5.0,0.78,18378.0,23.902601601720527,22293.85200074149,-23.24430594332055,0.0,0.0,350.48375538741647,233.0,80.08035729809811,367.4125215050909,-63.456555216995696,0.0,0.0,16.173085983997755,22356.873193647225,137.4756238634227,45.36467177969257
API Generated 2017-03-31 14:49:47 +0000,0ca80405-3638-4e87-a06b-42a6b2f0b624,2017-03-31T14:49:51.007Z,2017-03-31T14:50:24.534Z,completed,completed normal,-2.0,-1.05,1500.0,2.5,2.3,1.75,2.25,2.25,0.75,2.5,-3.0,0.0,50.0,3.5,0.88,18378.0,28.106875977791585,23152.702810158753,-28.342402339707068,0.0,0.0,412.13101439952356,233.0,29.282318448325768,222.13970708034455,5.127176914858783,0.0,0.0,5.913877885342851,23216.199829908335,121.14135612741026,27.977838015056804
API Generated 2017-03-31 14:51:07 +0000,12cb5451-0dac-4eac-bb0a-add9617cbe22,2017-03-31T14:51:12.301Z,2017-03-31T14:51:46.325Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,2.69085557004603,2.79320657582265,-3.0,0.89390507316657,49.7436778170291,5.0,0.78,18378.0,23.8667399053398,22287.75852059539,-23.208135343219027,0.0,0.0,349.9579154712638,233.0,79.87769167218742,366.930713715091,-63.229092311845505,0.0,0.0,16.132155489873547,22350.77241643056,137.38993590152887,45.31587021428526
API Generated 2017-03-31 14:51:07 +0000,13794e89-e691-4273-b45d-f1e5b0a41701,2017-03-31T14:51:09.693Z,2017-03-31T14:51:42.444Z,completed,completed normal,0.484858050376858,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-3.0,0.89390507316657,49.7436778170291,5.0,0.78,18378.0,23.35139467513734,22155.76109464126,-22.424605079044692,0.0,0.0,342.40141034215895,233.0,79.85933492311726,367.34547224636634,-63.42490106051631,0.0,0.0,16.12844814775976,22218.782998352777,136.92936310634948,45.35378731761269
API Generated 2017-03-31 14:49:47 +0000,1671afaf-05e0-432a-a6b8-32fe22b1559b,2017-03-31T14:49:51.706Z,2017-03-31T14:50:26.599Z,completed,completed normal,-2.0,-0.05,1500.0,2.5,2.3,1.75,2.25,2.25,1.75,2.5,-3.0,0.0,50.0,3.5,0.88,18378.0,28.24241150995619,23179.830477746866,-28.503430847635208,0.0,0.0,414.1183713865581,233.0,27.4848307623974,245.86700043773985,-6.074549562881452,0.0,0.0,5.550855992327557,23243.327347708335,124.45105365555965,30.814682118150934
API Generated 2017-03-31 14:51:07 +0000,1df70541-a21a-40f6-9e54-122f2400ba63,2017-03-31T14:51:12.385Z,2017-03-31T14:51:45.022Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-3.0,0.89390507316657,79.7436778170291,5.0,0.78,18378.0,22.238488362355852,21936.203596622854,-21.12132250985578,0.0,0.0,326.08286935664785,233.0,48.13315703643488,175.95121859975063,26.932901090246496,0.0,0.0,9.721006670009151,21998.645473308337,109.8841001336076,22.17705829300516
API Generated 2017-03-31 14:51:07 +0000,1e4a862b-8569-4ccf-b31e-f9eda7fba920,2017-03-31T14:51:10.652Z,2017-03-31T14:51:43.355Z,completed,completed normal,-0.515141949623142,2.62336619290458,1499.99981333273,2.28530643199652,1.71397132719466,1.62364684414492,2.19924605990672,2.16465438017751,1.69085557004603,2.79320657582265,-3.0,0.89390507316657,49.7436778170291,5.0,0.78,18378.0,23.902601601720527,22293.85200074149,-23.24430594332055,0.0,0.0,350.48375538741647,233.0,80.08035729809811,367.4125215050909,-63.456555216995696,0.0,0.0,16.173085983997755,22356.873193647225,137.4756238634227,45.36467177969257
