name,_id,run_start_time,run_end_time,status,status_message,CalibrationReportsEnhanced20.electricity_consumption_actual,CalibrationReportsEnhanced20.electricity_consumption_cvrmse,CalibrationReportsEnhanced20.electricity_consumption_modeled,CalibrationReportsEnhanced20.electricity_consumption_nmbe,CalibrationReportsEnhanced20.electricity_cvrmse_within_limit,CalibrationReportsEnhanced20.electricity_nmbe_within_limit,CalibrationReportsEnhanced20.electricity_rmse,CalibrationReportsEnhanced20.natural_gas_consumption_actual,CalibrationReportsEnhanced20.natural_gas_consumption_cvrmse,CalibrationReportsEnhanced20.natural_gas_consumption_modeled,CalibrationReportsEnhanced20.natural_gas_consumption_nmbe,CalibrationReportsEnhanced20.natural_gas_cvrmse_within_limit,CalibrationReportsEnhanced20.natural_gas_nmbe_within_limit,CalibrationReportsEnhanced20.natural_gas_rmse,OpenStudioResults.electricity_ip,OpenStudioResults.eui,OpenStudioResults.natural_gas_ip
Repeat Run Autogenerated 5,04a20906-6696-4ff3-b959-0ac1a79d3ede,2017-03-30T19:47:13.441Z,2017-03-30T19:47:47.049Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 18,05b974e6-6557-488c-9e99-efbf886c7d84,2017-03-30T19:47:14.555Z,2017-03-30T19:47:49.818Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 28,1bae3a2f-6ea1-44b7-b781-79ce151e4976,2017-03-30T19:47:15.053Z,2017-03-30T19:47:50.709Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 3,1d4e67de-e9b3-4d68-b195-8313b415a79e,2017-03-30T19:47:13.021Z,2017-03-30T19:47:46.375Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 10,220146ec-1f93-40c6-bea9-3c34a8fda2cf,2017-03-30T19:47:13.857Z,2017-03-30T19:47:51.617Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 25,22c00678-0528-48ac-87b5-7d1680f524a1,2017-03-30T19:47:14.717Z,2017-03-30T19:47:53.600Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 4,2bed13c8-bc8a-4a9f-9dc5-0f9d26a6fafc,2017-03-30T19:47:13.413Z,2017-03-30T19:47:47.277Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 11,2ffd9fec-d679-4e04-a45a-0f0d7a34486d,2017-03-30T19:47:14.061Z,2017-03-30T19:47:48.851Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 12,32f39964-914a-4ad4-b196-7ba32ef3afb8,2017-03-30T19:47:14.076Z,2017-03-30T19:47:51.417Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
Repeat Run Autogenerated 7,47fe2648-5624-463e-ae0c-3e7fd3a31312,2017-03-30T19:47:13.781Z,2017-03-30T19:47:48.533Z,completed,completed normal,18378.0,33.94821353782729,24207.06982933951,-34.601073394114565,0.0,0.0,497.7825245840684,233.0,158.86565537394003,503.83641389146936,-127.8626846697924,0.0,0.0,32.084620885275555,24274.03422865278,163.59974124580586,61.94534981226177
