name,_id,run_start_time,run_end_time,status,status_message,adjust_thermostat_setpoints_by_degrees.cooling_adjustment,adjust_thermostat_setpoints_by_degrees.heating_adjustment,change_electric_baseboard.nom_cap,change_exterior_wall_thermal_properties.r_value_mult,change_exterior_wall_thermal_properties.solar_abs_mult,change_exterior_wall_thermal_properties.thermal_mass_mult,change_roof_thermal_properties.r_value_mult,change_roof_thermal_properties.solar_abs_mult,change_roof_thermal_properties.thermal_mass_mult,improve_fan_belt_efficiency.fan_eff,improve_fan_belt_efficiency.motor_eff,reduce_electric_equipment_loads_by_percentage.elecequip_power_reduction_percent,reduce_space_infiltration_by_percentage.space_infiltration_reduction_percent,set_co_pfor_single_speed_dx_cooling_units.cop,set_gas_burner_efficiency_diag.eff,CalibrationReportsEnhanced20.electricity_consumption_actual,CalibrationReportsEnhanced20.electricity_consumption_cvrmse,CalibrationReportsEnhanced20.electricity_consumption_modeled,CalibrationReportsEnhanced20.electricity_consumption_nmbe,CalibrationReportsEnhanced20.electricity_cvrmse_within_limit,CalibrationReportsEnhanced20.electricity_nmbe_within_limit,CalibrationReportsEnhanced20.electricity_rmse,CalibrationReportsEnhanced20.natural_gas_consumption_actual,CalibrationReportsEnhanced20.natural_gas_consumption_cvrmse,CalibrationReportsEnhanced20.natural_gas_consumption_modeled,CalibrationReportsEnhanced20.natural_gas_consumption_nmbe,CalibrationReportsEnhanced20.natural_gas_cvrmse_within_limit,CalibrationReportsEnhanced20.natural_gas_nmbe_within_limit,CalibrationReportsEnhanced20.natural_gas_rmse,OpenStudioResults.electricity_ip,OpenStudioResults.eui,OpenStudioResults.natural_gas_ip
LHS Autogenerated 12,003ac106-ae69-4ec1-a6e7-6295372b99c4,2017-03-29T19:28:35.857Z,2017-03-29T19:29:24.721Z,completed,completed normal,1.0,-1.0,1123.8056539557874,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,12.15299016966919,19895.64408740921,-9.008661071493837,1.0,0.0,178.19924813311604,,,,,,,,19950.961326430555,128.09279203604768,45.2700713712477
LHS Autogenerated 50,00ded237-93dc-4b4c-928d-0f8637068e9d,2017-03-29T19:29:23.360Z,2017-03-29T19:29:57.727Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,-7.08249222394079,0.0,30.0,30.0,4.0,0.95,18378.0,13.973421720644456,20321.813409052273,-11.53838131987222,1.0,0.0,204.89222896603198,,,,,,,,20378.05979743889,129.0782035978268,44.68760607349694
LHS Autogenerated 28,06dedc40-c36d-4306-9917-dc43b0d30958,2017-03-29T19:28:37.412Z,2017-03-29T19:29:25.911Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,2.2529039996443316,1.0,1.0,1.0,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,12.232822601836114,19882.46547971217,-8.930433500799396,1.0,0.0,179.36983077904694,,,,,,,,19937.700522455554,127.04311450284818,44.395055327890894
LHS Autogenerated 14,072e216b-24b6-42e7-9121-d505405affe7,2017-03-29T19:28:35.995Z,2017-03-29T19:29:26.078Z,completed,completed normal,1.0,-1.0,126.78016000427306,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,11.35941489480819,19680.647675557157,-7.7324528866955,1.0,0.0,166.5630569288974,,,,,,,,19735.96461159722,127.35373336471336,45.35492943802935
LHS Autogenerated 2,0de966f5-d392-4328-870d-4918b77b52cd,2017-03-29T19:28:34.798Z,2017-03-29T19:29:19.580Z,completed,completed normal,-1.9463333424180744,-1.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,13.617692399822147,20436.687796127404,-12.220270062786966,1.0,0.0,199.6761713024911,,,,,,,,20492.006594894447,129.95650520723862,45.07732933480953
LHS Autogenerated 61,1143a6fb-9f89-4b02-8a0a-2d58ec32e9e4,2017-03-29T19:29:24.878Z,2017-03-29T19:29:57.766Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,35.92411099933088,4.0,0.95,18378.0,11.623321317382219,19737.777896101143,-8.071575081477725,1.0,0.0,170.43271578845622,,,,,,,,19792.58004407778,124.05474683180066,42.238070057074474
LHS Autogenerated 44,14c2908e-2717-466c-adf1-b3ed3df249d0,2017-03-29T19:28:39.031Z,2017-03-29T19:29:25.244Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,1.0,1.0,1.0,0.8288176831556484,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,12.453009972733234,19957.25470940388,-9.374378710140844,1.0,0.0,182.5984373519545,,,,,,,,20012.53488484167,128.36056691696595,45.30518328362468
LHS Autogenerated 35,1830801a-f7f3-4556-80af-1a7311f210f0,2017-03-29T19:28:37.675Z,2017-03-29T19:29:26.529Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,1.0,2.606025790446438,1.0,1.0,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,12.203223058470199,19879.136553122593,-8.910673155388926,1.0,0.0,178.9358127884743,,,,,,,,19934.31715026111,127.3430223694766,44.666305704436674
LHS Autogenerated 30,184a62cf-9c54-4279-b79e-242f3bc7b6a8,2017-03-29T19:28:37.545Z,2017-03-29T19:29:23.888Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,2.606448504491709,1.0,1.0,1.0,0.0,0.0,30.0,30.0,4.0,0.95,18378.0,12.20419867526507,19872.324878273554,-8.870239386659248,1.0,0.0,178.9501182537865,,,,,,,,19927.58924138056,126.88244957429724,44.28555311861628
LHS Autogenerated 66,1891fe79-e177-43a5-aad4-071db794f379,2017-03-29T19:29:25.355Z,2017-03-29T19:29:59.735Z,completed,completed normal,1.0,-1.0,1500.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,30.0,3.3291992434766144,0.95,18378.0,12.780511796217601,20176.03552848021,-10.673050951118704,1.0,0.0,187.40059533055563,,,,,,,,20231.368285966666,129.14246956924717,45.24915304740239
