name,_id,run_start_time,run_end_time,status,status_message,change_electric_baseboard_diag.run_measure,reduce_electric_equipment_loads_by_percentage_diag.run_measure,set_gas_burner_efficiency_diag.run_measure,CalibrationReportsEnhanced20.electricity_consumption_actual,CalibrationReportsEnhanced20.electricity_consumption_cvrmse,CalibrationReportsEnhanced20.electricity_consumption_modeled,CalibrationReportsEnhanced20.electricity_consumption_nmbe,CalibrationReportsEnhanced20.electricity_cvrmse_within_limit,CalibrationReportsEnhanced20.electricity_nmbe_within_limit,CalibrationReportsEnhanced20.electricity_rmse,CalibrationReportsEnhanced20.natural_gas_consumption_actual,CalibrationReportsEnhanced20.natural_gas_consumption_cvrmse,CalibrationReportsEnhanced20.natural_gas_consumption_modeled,CalibrationReportsEnhanced20.natural_gas_consumption_nmbe,CalibrationReportsEnhanced20.natural_gas_cvrmse_within_limit,CalibrationReportsEnhanced20.natural_gas_nmbe_within_limit,CalibrationReportsEnhanced20.natural_gas_rmse,OpenStudioResults.electricity_ip,OpenStudioResults.eui,OpenStudioResults.natural_gas_ip
LHS Autogenerated 4,1eb22a10-1f81-4662-ad2f-fbe896fc79ef,2017-03-29T22:25:31.056Z,2017-03-29T22:26:00.796Z,completed,completed normal,1.0,1.0,0.0,18378.0,36.721725065578624,24705.52271970104,-37.55986537085473,0.0,0.0,538.4505134521339,,,,,,,,24773.597012355556,163.11774646015306,59.809255891676024
LHS Autogenerated 2,213b6cfc-e722-468b-99b2-c13acacd3d4f,2017-03-29T22:25:30.999Z,2017-03-29T22:26:00.575Z,completed,completed normal,0.0,1.0,1.0,18378.0,37.09784758879237,24768.874949921094,-37.93592111074167,0.0,0.0,543.9655965639345,,,,,,,,24836.95253694722,176.02449572041206,71.02049111736248
LHS Autogenerated 3,77d5898c-1edf-429e-90a9-7602632c9a31,2017-03-29T22:25:31.051Z,2017-03-29T22:26:00.875Z,completed,completed normal,1.0,0.0,1.0,18378.0,36.72172506557862,24705.522719701043,-37.559865370854716,0.0,0.0,538.4505134521339,,,,,,,,24773.597012355556,175.78885382520403,71.02337248140823
LHS Autogenerated 1,8b73fb78-a9d6-46f1-b95d-121bb2fef23a,2017-03-29T22:25:30.826Z,2017-03-29T22:26:00.504Z,completed,completed normal,1.0,1.0,1.0,18378.0,36.721725065578624,24705.52271970104,-37.55986537085473,0.0,0.0,538.4505134521339,,,,,,,,24773.597012355556,175.78885382520403,71.02337248140823
