name,_id,run_start_time,run_end_time,status,status_message,adjust_thermostat_setpoints_by_degrees.cooling_adjustment,adjust_thermostat_setpoints_by_degrees.heating_adjustment,change_electric_baseboard.nom_cap,change_exterior_wall_thermal_properties.r_value_mult,change_exterior_wall_thermal_properties.solar_abs_mult,change_exterior_wall_thermal_properties.thermal_mass_mult,change_roof_thermal_properties.r_value_mult,change_roof_thermal_properties.solar_abs_mult,change_roof_thermal_properties.thermal_mass_mult,improve_fan_belt_efficiency.fan_eff,improve_fan_belt_efficiency.motor_eff,reduce_electric_equipment_loads_by_percentage.elecequip_power_reduction_percent,reduce_space_infiltration_by_percentage.space_infiltration_reduction_percent,set_co_pfor_single_speed_dx_cooling_units.cop,set_gas_burner_efficiency_diag.eff,CalibrationReportsEnhanced20.electricity_consumption_actual,CalibrationReportsEnhanced20.electricity_consumption_cvrmse,CalibrationReportsEnhanced20.electricity_consumption_modeled,CalibrationReportsEnhanced20.electricity_consumption_nmbe,CalibrationReportsEnhanced20.electricity_cvrmse_within_limit,CalibrationReportsEnhanced20.electricity_nmbe_within_limit,CalibrationReportsEnhanced20.electricity_rmse,CalibrationReportsEnhanced20.natural_gas_consumption_actual,CalibrationReportsEnhanced20.natural_gas_consumption_cvrmse,CalibrationReportsEnhanced20.natural_gas_consumption_modeled,CalibrationReportsEnhanced20.natural_gas_consumption_nmbe,CalibrationReportsEnhanced20.natural_gas_cvrmse_within_limit,CalibrationReportsEnhanced20.natural_gas_nmbe_within_limit,CalibrationReportsEnhanced20.natural_gas_rmse,OpenStudioResults.electricity_ip,OpenStudioResults.eui,OpenStudioResults.natural_gas_ip
API Generated 2017-03-29 21:27:44 +0000,01c8671d-3138-4fe5-b687-dc4d77185a87,2017-03-29T21:27:48.361Z,2017-03-29T21:28:22.935Z,completed,completed normal,2.0,3.9,3000.0,0.5,4.5,3.0,4.0,4.0,3.0,30.0,14.0,80.0,100.0,2.0,0.98,18378.0,19.499914755394155,15346.425306037007,17.995279102264536,0.0,0.0,285.9271750867944,,,,,,,,15382.48771576389,147.76889028591972,78.27258129977275
API Generated 2017-03-29 21:27:44 +0000,1535fc34-578c-43c8-81d8-e3bb664216ae,2017-03-29T21:27:47.919Z,2017-03-29T21:28:22.594Z,completed,completed normal,2.0,3.9,0.0,0.5,0.1,3.0,4.0,4.0,3.0,30.0,14.0,80.0,0.0,2.0,0.98,18378.0,26.41962093022424,13932.308219207036,26.389408962057182,0.0,0.0,387.3908001240529,,,,,,,,13969.516930058337,166.57739792161667,99.74177929886513
API Generated 2017-03-29 21:27:44 +0000,1bf616a5-096a-4a3a-ac42-d1a778a17139,2017-03-29T21:27:48.958Z,2017-03-29T21:28:22.764Z,completed,completed normal,2.0,3.9,0.0,0.5,0.1,0.5,4.0,4.0,3.0,-25.0,-20.0,80.0,0.0,2.0,0.98,18378.0,7.3520532122310485,18012.214727003644,2.1712834891304253,1.0,1.0,107.80312798441898,,,,,,,,18059.403602444443,174.5892223586903,92.87170319625842
API Generated 2017-03-29 21:27:44 +0000,49cf0c4d-7dbe-4f67-88fb-a2ad865da0ce,2017-03-29T21:27:47.246Z,2017-03-29T21:28:23.407Z,completed,completed normal,2.0,-6.0,3000.0,4.5,4.5,3.0,0.5,0.5,3.0,30.0,14.0,-80.0,100.0,5.0,0.78,18378.0,74.50061033498898,31390.18021167699,-77.2396652816727,0.0,0.0,1092.4021629085767,,,,,,,,31482.131888616666,148.786434833409,24.24185880889275
API Generated 2017-03-29 21:27:44 +0000,53ccde06-4535-42c8-a1f7-9f8867ef760f,2017-03-29T21:27:48.361Z,2017-03-29T21:28:22.925Z,completed,completed normal,2.0,3.9,0.0,0.5,0.1,0.5,4.0,4.0,3.0,-25.0,14.0,80.0,0.0,2.0,0.98,18378.0,7.3520532122310485,18012.214727003644,2.1712834891304253,1.0,1.0,107.80312798441898,,,,,,,,18059.403602444443,174.5892223586903,92.87170319625842
API Generated 2017-03-29 21:27:44 +0000,5ea376f0-f169-4436-9eb4-e943fe8ce161,2017-03-29T21:27:47.319Z,2017-03-29T21:28:22.491Z,completed,completed normal,2.0,-6.0,3000.0,0.5,4.5,3.0,4.0,4.0,3.0,30.0,14.0,80.0,100.0,2.0,0.98,18378.0,23.244223420951542,14439.208182382017,23.38047557426161,0.0,0.0,340.82995865407514,,,,,,,,14475.571648883333,100.04069551105322,39.13671195459635
API Generated 2017-03-29 21:27:44 +0000,6890174d-dead-4b7b-b0a5-2ceb650f42ae,2017-03-29T21:27:48.362Z,2017-03-29T21:28:23.266Z,completed,completed normal,-6.0,3.9,0.0,0.5,0.1,0.5,4.0,4.0,0.5,-25.0,-20.0,80.0,0.0,2.0,0.98,18378.0,25.637248545193955,21036.357691329624,-15.77988122951134,0.0,0.0,375.91887685035005,,,,,,,,21083.553040255556,186.17851920483156,92.80519392110891
API Generated 2017-03-29 21:27:44 +0000,6cc71e8b-676d-42c3-838c-431c76f91e33,2017-03-29T21:27:47.923Z,2017-03-29T21:28:22.782Z,completed,completed normal,-6.0,3.9,0.0,0.5,0.1,0.5,4.0,4.0,3.0,-25.0,-20.0,80.0,0.0,2.0,0.98,18378.0,25.548005757523047,21014.066774054616,-15.647563434865491,0.0,0.0,374.6103101978442,,,,,,,,21061.255885613893,186.15709721435812,92.86847682678086
API Generated 2017-03-29 21:27:44 +0000,7519e49b-4c4b-4bb6-810c-ea10a4df8edf,2017-03-29T21:27:48.361Z,2017-03-29T21:28:23.891Z,completed,completed normal,2.0,-6.0,3000.0,0.5,4.5,3.0,0.5,4.0,3.0,30.0,14.0,-80.0,100.0,5.0,0.98,18378.0,79.80801163608149,32338.14487047762,-82.86673712924123,0.0,0.0,1170.2245677810681,,,,,,,,32431.534600930558,152.56741615197453,24.347102172335802
API Generated 2017-03-29 21:27:44 +0000,88c7ed18-869c-4457-ba68-8c2c0a525532,2017-03-29T21:27:47.919Z,2017-03-29T21:28:23.392Z,completed,completed normal,2.0,-6.0,3000.0,4.5,4.5,3.0,0.5,0.5,3.0,30.0,14.0,-80.0,100.0,5.0,0.98,18378.0,74.50061033498898,31390.18021167699,-77.2396652816727,0.0,0.0,1092.4021629085767,,,,,,,,31482.131888616666,143.19529531983625,19.294542978211343
API Generated 2017-03-29 21:27:44 +0000,8ffc4af4-e804-4ad6-b45e-d812a3a6c3c0,2017-03-29T21:27:48.736Z,2017-03-29T21:28:22.937Z,completed,completed normal,2.0,3.9,3000.0,0.5,4.5,3.0,4.0,4.0,3.0,30.0,14.0,80.0,0.0,2.0,0.98,18378.0,16.021083893137778,16185.7868456443,13.012870058206168,0.0,0.0,234.91709152863092,,,,,,,,16222.994175366668,165.74194029315177,91.31358757999247
API Generated 2017-03-29 21:27:44 +0000,97f69142-29d4-41e6-8f33-6f81583e5701,2017-03-29T21:27:47.460Z,2017-03-29T21:28:22.068Z,completed,completed normal,2.0,3.9,0.0,0.5,0.1,0.5,4.0,4.0,3.0,30.0,14.0,80.0,0.0,2.0,0.98,18378.0,25.618690441419783,14062.782218866809,25.61492168185196,0.0,0.0,375.64675944605995,,,,,,,,14099.98890551389,167.48783251673868,100.10298387306244
API Generated 2017-03-29 21:27:44 +0000,aeed696c-2650-4bcf-9a9b-54547a0c4f30,2017-03-29T21:27:48.376Z,2017-03-29T21:28:22.430Z,completed,completed normal,2.0,3.9,0.0,0.5,4.5,3.0,4.0,4.0,3.0,30.0,14.0,80.0,0.0,2.0,0.98,18378.0,23.066985560549295,14505.376480463952,22.987703793286716,0.0,0.0,338.23112058842554,,,,,,,,14542.583812072226,159.93658087484437,91.90724145949527
API Generated 2017-03-29 21:27:44 +0000,bd9f996f-7fcc-4830-bf11-39f09a223189,2017-03-29T21:27:48.941Z,2017-03-29T21:28:23.274Z,completed,completed normal,2.0,-6.0,3000.0,0.5,4.5,3.0,0.5,0.5,3.0,30.0,14.0,-80.0,100.0,5.0,0.98,18378.0,78.90695883011601,32178.523825274515,-81.91923441233794,0.0,0.0,1157.0124339514846,,,,,,,,32271.649586902775,152.50315018055412,24.838536293849312
API Generated 2017-03-29 21:27:44 +0000,c9a04b78-0c8a-465e-ad47-70a6596eba1a,2017-03-29T21:27:48.959Z,2017-03-29T21:28:23.586Z,completed,completed normal,2.0,-6.0,3000.0,0.5,4.5,3.0,0.5,4.0,3.0,30.0,14.0,80.0,100.0,5.0,0.98,18378.0,29.432992248736987,13550.42600605657,28.656243100605053,0.0,0.0,431.57585218186125,,,,,,,,13586.75843607778,97.4914786447116,39.9146281170079
API Generated 2017-03-29 21:27:44 +0000,cd2a2665-a049-46d5-9c8b-d76736bd2b95,2017-03-29T21:27:47.919Z,2017-03-29T21:28:22.722Z,completed,completed normal,2.0,-6.0,3000.0,0.5,4.5,3.0,4.0,4.0,3.0,30.0,14.0,80.0,100.0,5.0,0.98,18378.0,30.26926610957527,13409.218206928192,29.49444568944177,0.0,0.0,443.83813258810113,,,,,,,,13445.401293030556,96.06691627822659,39.13671195459635
